construct_id,member_endpoint_ids,aggregation_rule,scale_role,evidence_tier,biological_interpretation,claim_boundary
presentation_angle,orientation_image_vertical_angle,singleton,within_and_among,primary,capitulum presentation geometry,image-referenced angle not direct gravity-referenced inclination
floral_lightness,corolla_lab_lightness,singleton,within_and_among,primary,visible corolla lightness,image-derived L* not calibrated reflectance or pigment amount
floral_chroma,corolla_lab_chroma,singleton,within_and_among,primary,visible corolla chroma,image-derived C* not anthocyanin concentration
floral_hue,corolla_hue_sin|corolla_hue_cos,joint_circular_2d,within_and_among,primary,visible corolla hue,circular components form one hue trait not two biological traits
head_elongation,capitulum_outline_aspect_ratio,singleton,within_and_among,primary,2D capitulum elongation,image-outline ratio not absolute 3D head dimensions
head_compactness,capitulum_outline_circularity|capitulum_outline_solidity|capitulum_width_profile_cv,signed_equal_weight_composite:+circularity:+solidity:-width_profile_cv,within_and_among,primary,compact and regular 2D capitulum outline,not 3D sphericity or direct aerodynamic function
involucre_form,involucre_length_width_ratio|involucre_apical_taper_ratio|involucre_basal_taper_ratio,joint_multivariate_3d,within_and_among,candidate,overall involucre proportion and taper profile,retained jointly because the three facets are not one-dimensional and need botanical calibration
projection_prominence,bract_projection_roughness|bract_projection_p95|bract_projection_maximum|bract_spread_fraction,signed_equal_weight_composite:+roughness:+p95:+maximum:+spread_fraction,within_and_among,candidate,prominence and spatial extent of outward involucre projections,image-derived projection geometry not botanical spine length or defence efficacy
projection_pattern,bract_projection_peak_density|bract_projection_asymmetry,joint_multivariate_2d,within_and_among,candidate,discreteness and bilateral distribution of contour projections,not direct spine count or developmental asymmetry without pose control
surface_texture,involucre_surface_edge_density|involucre_surface_lbp_entropy|involucre_surface_high_frequency_energy,joint_multivariate_3d,within_and_among,validation_only,visible involucre surface texture structure,not calibrated hair gland or tomentum abundance
surface_specularity,involucre_surface_specular_fraction,singleton_descriptive,descriptive_only,validation_only,visible specular surface signal,no among-taxon min5 variation in current v2 cohort and not mucilage amount or stickiness
