endpoint_id,module,biological_construct,measurement_variable,observation_variable,species_variable,source_status_column,unit,lower_bound,upper_bound,circular_group,compositional_group,formula_id,image_requirement,min_head_dimension_px,analysis_tier,validation_status,category_free,interpretation,not_interpretable_as
orientation_image_vertical_angle,orientation,capitulum presentation angle,orientation_angle_degrees,orientation_angle_degrees_median,orientation_angle_degrees_species_median,n_usable_heads_orientation,degrees,0,180,,,signed_pca_axis_vs_image_vertical,head and floral end visible,96,primary,frozen_technical,true,Signed longitudinal head-axis angle relative to EXIF-oriented image vertical,Direct gravity-referenced inclinometer angle or peduncle deflection
corolla_lab_lightness,colour,visible corolla lightness,corolla_lab_lightness,corolla_lab_lightness_median,corolla_lab_lightness_species_median,n_usable_heads_colour,Lab L*,0,100,,,median_lab_lstar_floral_pixels,visible corolla with usable exposure,96,primary,frozen_technical,true,Median image-derived Lab lightness over visible floral pixels,Spectrally calibrated reflectance or pigment concentration
corolla_lab_chroma,colour,visible corolla chroma,corolla_lab_chroma,corolla_lab_chroma_median,corolla_lab_chroma_species_median,n_usable_heads_colour,Lab chroma,0,,,,median_lab_chroma_floral_pixels,visible chromatic corolla pixels,96,primary,frozen_technical,true,Median image-derived Lab chroma over visible floral pixels,Calibrated saturation or anthocyanin concentration
corolla_hue_sin,colour,visible corolla circular hue,corolla_hue_sin,corolla_hue_sin_median,corolla_hue_sin_species_median,n_usable_heads_colour,unitless,-1,1,corolla_hue,,circular_hue_sine,visible chromatic corolla pixels,96,primary,frozen_technical,true,Sine component of circular mean hue,Independent biological colour trait
corolla_hue_cos,colour,visible corolla circular hue,corolla_hue_cos,corolla_hue_cos_median,corolla_hue_cos_species_median,n_usable_heads_colour,unitless,-1,1,corolla_hue,,circular_hue_cosine,visible chromatic corolla pixels,96,primary,frozen_technical,true,Cosine component of circular mean hue,Independent biological colour trait
visible_floret_fraction,display,visible floral display within detected head,corolla_visible_fraction,corolla_visible_fraction_median,corolla_visible_fraction_species_median,n_usable_heads_colour,fraction,0,1,,,visible_floral_pixels_over_head_foreground,head foreground and corolla visible,96,candidate,requires_botanical_calibration,true,Fraction of segmented head foreground occupied by visible floral pixels,Anthesis stage or whole-plant floral display without stage calibration
corolla_white_pixel_fraction,colour,white or cream floral pixel composition,corolla_white_fraction,corolla_white_fraction_median,corolla_white_fraction_species_median,n_usable_heads_colour,fraction,0,1,,corolla_colour_composition,exclusive_white_pixel_fraction,visible corolla with usable exposure,96,descriptive_only,requires_botanical_calibration,true,Mutually exclusive white or cream pixel fraction,Whole-head colour category
corolla_redmagenta_pixel_fraction,colour,red or magenta floral pixel composition,corolla_redmagenta_fraction,corolla_redmagenta_fraction_median,corolla_redmagenta_fraction_species_median,n_usable_heads_colour,fraction,0,1,,corolla_colour_composition,exclusive_redmagenta_pixel_fraction,visible corolla with usable exposure,96,descriptive_only,requires_botanical_calibration,true,Mutually exclusive red or magenta pixel fraction,Whole-head colour category
corolla_purple_pixel_fraction,colour,purple or blue floral pixel composition,corolla_purple_fraction,corolla_purple_fraction_median,corolla_purple_fraction_species_median,n_usable_heads_colour,fraction,0,1,,corolla_colour_composition,exclusive_purple_pixel_fraction,visible corolla with usable exposure,96,descriptive_only,requires_botanical_calibration,true,Mutually exclusive purple or blue pixel fraction,Whole-head colour category
corolla_yellow_pixel_fraction,colour,yellow floral pixel composition,corolla_yellow_fraction,corolla_yellow_fraction_median,corolla_yellow_fraction_species_median,n_usable_heads_colour,fraction,0,1,,corolla_colour_composition,exclusive_yellow_pixel_fraction,visible corolla with usable exposure,96,descriptive_only,requires_botanical_calibration,true,Mutually exclusive yellow pixel fraction,Whole-head colour category
