endpoint_id,module,biological_construct,unit,analysis_tier,validation_status,circular_group,interpretation,not_interpretable_as,n_measurements_available,n_taxa_measured,n_observations_measured,n_measurements_joined_full_environment,n_taxa_joined_full_environment,registered_in_v2_starting_27,measurement_status,model_selection_rule
orientation_image_vertical_angle,orientation,capitulum presentation angle,degrees,primary,frozen_technical,,Signed longitudinal head-axis angle relative to EXIF-oriented image vertical,Direct gravity-referenced inclinometer angle or peduncle deflection,37251,254,37251,37251,254,True,measured,measurement_available_only_tier_not_used
corolla_lab_lightness,colour,visible corolla lightness,Lab L*,primary,frozen_technical,,Median image-derived Lab lightness over visible floral pixels,Spectrally calibrated reflectance or pigment concentration,40510,253,40510,40510,253,True,measured,measurement_available_only_tier_not_used
corolla_lab_chroma,colour,visible corolla chroma,Lab chroma,primary,frozen_technical,,Median image-derived Lab chroma over visible floral pixels,Calibrated saturation or anthocyanin concentration,40510,253,40510,40510,253,True,measured,measurement_available_only_tier_not_used
corolla_hue_sin,colour,visible corolla circular hue,unitless,primary,frozen_technical,corolla_hue,Sine component of circular mean hue,Independent biological colour trait,40503,253,40503,40503,253,True,measured,measurement_available_only_tier_not_used
corolla_hue_cos,colour,visible corolla circular hue,unitless,primary,frozen_technical,corolla_hue,Cosine component of circular mean hue,Independent biological colour trait,40503,253,40503,40503,253,True,measured,measurement_available_only_tier_not_used
visible_floret_fraction,display,visible floral display within detected head,fraction,candidate,requires_botanical_calibration,,Fraction of segmented head foreground occupied by visible floral pixels,Anthesis stage or whole-plant floral display without stage calibration,0,0,0,0,0,True,unexecuted_no_measurement,measurement_available_only_tier_not_used
corolla_white_pixel_fraction,colour,white or cream floral pixel composition,fraction,descriptive_only,requires_botanical_calibration,,Mutually exclusive white or cream pixel fraction,Whole-head colour category,0,0,0,0,0,True,unexecuted_no_measurement,measurement_available_only_tier_not_used
corolla_redmagenta_pixel_fraction,colour,red or magenta floral pixel composition,fraction,descriptive_only,requires_botanical_calibration,,Mutually exclusive red or magenta pixel fraction,Whole-head colour category,0,0,0,0,0,True,unexecuted_no_measurement,measurement_available_only_tier_not_used
corolla_purple_pixel_fraction,colour,purple or blue floral pixel composition,fraction,descriptive_only,requires_botanical_calibration,,Mutually exclusive purple or blue pixel fraction,Whole-head colour category,0,0,0,0,0,True,unexecuted_no_measurement,measurement_available_only_tier_not_used
corolla_yellow_pixel_fraction,colour,yellow floral pixel composition,fraction,descriptive_only,requires_botanical_calibration,,Mutually exclusive yellow pixel fraction,Whole-head colour category,0,0,0,0,0,True,unexecuted_no_measurement,measurement_available_only_tier_not_used
capitulum_outline_aspect_ratio,shape,capitulum elongation,ratio,primary,frozen_technical,,Height to width ratio of the PCA-aligned segmented outline,Absolute head dimensions or a category such as globose,38511,253,38511,38511,253,True,measured,measurement_available_only_tier_not_used
capitulum_outline_circularity,shape,capitulum outline compactness,unitless,primary,frozen_technical,,Four pi times contour area divided by squared perimeter,Three-dimensional sphericity,38511,253,38511,38511,253,True,measured,measurement_available_only_tier_not_used
capitulum_outline_solidity,shape,capitulum outline concavity,unitless,primary,frozen_technical,,Contour area divided by convex-hull area,Bract number or armature identity,38511,253,38511,38511,253,True,measured,measurement_available_only_tier_not_used
capitulum_width_profile_cv,shape,longitudinal width-profile variation,unitless,primary,frozen_technical,,Coefficient of variation of normalized widths along the PCA-aligned outline,A botanical outline category independent of viewpoint,38511,253,38511,38511,253,True,measured,measurement_available_only_tier_not_used
involucre_length_width_ratio,involucre_architecture,involucre elongation,ratio,candidate,requires_botanical_calibration,,Longitudinal extent divided by transverse extent of the recovered involucre region,Absolute involucre size,2326,127,2326,2326,127,True,measured,measurement_available_only_tier_not_used
involucre_apical_taper_ratio,involucre_architecture,apical involucre taper,ratio,candidate,requires_botanical_calibration,,Apical band width divided by middle involucre width,Urceolate category without viewpoint calibration,2326,127,2326,2326,127,True,measured,measurement_available_only_tier_not_used
involucre_basal_taper_ratio,involucre_architecture,basal involucre taper,ratio,candidate,requires_botanical_calibration,,Basal band width divided by middle involucre width,A botanical base-shape category independent of viewpoint,2326,127,2326,2326,127,True,measured,measurement_available_only_tier_not_used
bract_projection_roughness,involucre_architecture,radial bract projection variability,relative,candidate,requires_botanical_calibration,,Standard deviation of radial contour residuals normalized by equivalent radius,Mean phyllary angle or spine length,2326,127,2326,2326,127,True,measured,measurement_available_only_tier_not_used
bract_projection_p95,involucre_architecture,upper-tail bract projection,relative,candidate,requires_botanical_calibration,,Ninety-fifth percentile positive contour projection normalized by equivalent radius,Maximum botanical spine length,2326,127,2326,2326,127,True,measured,measurement_available_only_tier_not_used
