group,taxon_name,kde_volume,environment_breadth,geographic_breadth_km
colour,Cirsium acaulon,64.1426662152347,1.559415012957381,962.4045177624428
colour,Cirsium altissimum,76.23097621904387,1.1701964369089326,838.5751849429553
colour,Cirsium andersonii,57.0414097690478,1.3703641565958793,274.95032568951217
colour,Cirsium arizonicum,54.7342500449836,1.7520460504271953,494.4496410785158
colour,Cirsium arvense,74.05029733258235,1.6894530335676032,6389.9434913932
colour,Cirsium brevistylum,98.55965210555432,1.88933095594887,718.3881655392734
colour,Cirsium canescens,28.211245128492948,1.2948436125444127,395.99355322221044
colour,Cirsium canum,76.99262087348478,0.7404595167453734,1346.3893215407434
colour,Cirsium carolinianum,67.86658111941965,0.6493690283854658,592.5999546179671
colour,Cirsium ciliatum,71.20301826055544,1.3614800166642127,424.60434882614004
colour,Cirsium cymosum,31.976629004103994,1.3437535821096038,466.98275857441126
colour,Cirsium discolor,73.90768324674968,0.9624572173202968,885.6822129981642
colour,Cirsium dissectum,72.14604117698173,1.229488182522795,609.6906193167872
colour,Cirsium drummondii,81.00160748669697,0.7894216759358599,874.9783322194762
colour,Cirsium echinus,35.34339758588026,1.4601818805451308,349.4708311257385
colour,Cirsium edule,72.72269396148738,1.8501412415667018,446.4265129892883
colour,Cirsium ehrenbergii,58.61751414976855,1.457690053227306,445.59735164875906
colour,Cirsium erisithales,48.26313441625593,1.4678588409382378,656.6730681698376
colour,Cirsium esculentum,84.04573348831504,1.303032484078124,2227.0411351257353
colour,Cirsium filipendulum,59.752901049679885,1.3080753871675341,383.6374878562786
colour,Cirsium flodmanii,69.27246202433041,0.8904708389326416,822.651961722964
colour,Cirsium helenioides,84.30152308847916,1.3528114666554651,1462.2722423287933
colour,Cirsium heterophyllum,86.50150275488068,1.314276523236909,1893.1985449389745
colour,Cirsium hookerianum,32.7282128107751,1.9448262389573165,348.0973841710311
colour,Cirsium horridulum,76.56694383697572,1.033961125091641,974.3612434680997
colour,Cirsium japonicum,77.44149608805941,1.837490894177988,1270.196810250469
colour,Cirsium kamtschaticum,79.7792111389484,1.7668705509941987,1087.8538095796662
colour,Cirsium mexicanum,73.1515486905718,2.0809776126087587,1442.0321218191584
colour,Cirsium monspessulanum,68.81760553169065,1.2927628459975322,416.8488294518943
colour,Cirsium muticum,75.03198227408075,1.1360807025778255,1127.0422009707652
colour,Cirsium neomexicanum,57.07705514884023,1.9368624102854999,557.8779564378124
colour,Cirsium nuttallii,57.31883168422635,0.8653037784135069,595.0219645975205
colour,Cirsium obvallatum,43.14709098540182,1.767671685375499,298.0867394343327
colour,Cirsium occidentale,80.34742946563284,1.7177266799107027,529.9414627386882
colour,Cirsium ochrocentrum,50.94468671075927,1.4626587342014785,672.8309639235588
colour,Cirsium oleraceum,58.19029210236238,1.0181997429881793,1519.7624419744589
