module,claim,evidence_grade,best_support,allowed_wording,prohibited_wording,remaining_test
orientation,Fixed floral orientation can alter morning warming and pollinator visitation,A,Atamian et al. 2016 Science,orientation can alter floral temperature and visitor behaviour,orientation evolved to attract pollinators in Cirsium,Angle manipulation plus thermal and visitation monitoring in Cirsium
orientation,Floral orientation can modify solar loading and gynoecium temperature,A/B,Patino et al. 2002 Oecologia,orientation changes radiative and thermal exposure,erect or nodding heads are universally warmer,Temperature logging across manipulated angles and climates
orientation,Sun-facing flowers can create warm floral microhabitats,B,Kevan 1975 Science,orientation may mediate thermal interactions in cold environments,Arctic-flower mechanisms explain thistles globally,Replicate in thistle capitula across climates
orientation,Nodding protects flowers from rain,D,Natural-history hypothesis; direct manipulation sparse,orientation changes rainfall exposure,nodding is a rain-protection adaptation,Simulated rainfall crossed with angle manipulation and pollen nectar seed-set measures
colour,Flower-colour transitions can involve anthocyanin pathway changes,C,Rausher 2008 IJPS,colour evolution can involve pigment-pathway regulation,image hue identifies a mutation or pigment amount,Pigment chemistry and gene-expression analysis
colour,Human-visible hue incompletely represents hymenopteran colour,C,Chittka 1992; Chittka et al. 1994; Briscoe and Chittka 2001,camera colour is not pollinator colour,RGB hue measures bee preference,Calibrated UV-visible spectra and receptor-noise models
colour,Floral colour can guide pollinator decisions,A/B,Weiss 1991 Nature,colour can function as information for visitors,a particular thistle hue is universally preferred,Choice experiments with local visitor guilds
colour,Climate can influence floral pigmentation,C,Anthocyanin physiology literature,environmental colour structure is physiologically plausible,climate caused adaptive colour evolution,Floral-tissue pigment and common-garden experiments
colour,Soil can influence flower colour in special chemical systems,C,System-specific metal pH copigmentation studies,edaphic effects are plausible and system dependent,soil generally determines thistle colour,Tissue elemental analysis pigment chemistry and controlled soils
shape,Two-dimensional outline combines biology and viewpoint,C,Image-geometry principles and project QC,shape metrics quantify visible form under defined QC,shape dispersion equals plasticity,Multi-view imaging repeated developmental stages and segmentation audit
Cirsium,Traditional generic boundaries can conflict with molecular clades,B,Ackerfield et al. 2020 Taxon,the group has unresolved systematic structure,Cirsium has no phylogenetic structure,Dense nuclear phylogenomics
Cirsium,Cytotype differences can reveal overlooked lineages,A/B,Bures et al. 2018 Preslia,ploidy and morphology may identify distinct evolutionary units,polyploidy caused the measured traits,Flow cytometry chromosome counts and population genomics
Cirsium,Contemporary hybridization can blur lineage boundaries,A/B,Michalkova et al. 2023 PSE,reticulation complicates a single-tree interpretation,hybridization caused weak signal in this study,Hybrid-index genomic analyses for sampled taxa
Cirsium,Cirsium is a rapid adaptive radiation,D,Not established for the genus as a whole,regional and reticulate diversification is plausible,Cirsium is a demonstrated rapid adaptive radiation,Dated dense nuclear tree diversification-rate and trait-dependent analyses
